Id,JobName,StartedOn,LastModifiedOn,CompletedOn,JobRunState,AllocatedCapacity,ExecutionTime,Timeout,MaxCapacity,WorkerType,NumberOfWorkers,GlueVersion,ErrorMessage
jr_7ac6827f2e2e8f3b339ec837c8a612b2d092698c74ce617a2476e3a7bd89769c,demo-pyspark-job,2020-10-03 17:07:11.274000-04:00,2020-10-03 17:07:49.953000-04:00,2020-10-03 17:07:49.953000-04:00,STOPPED,17,31,2880,17.0,Standard,17,2.0,
jr_0ee9fe79e8db164caaa1bf0c73df092b7f0f5dad1af680339493b02c5de4a886,demo-pyspark-job,2020-10-03 17:07:11.256000-04:00,2020-10-03 17:08:00.110000-04:00,2020-10-03 17:08:00.110000-04:00,STOPPED,2,41,2880,2.0,Standard,2,2.0,
jr_8f6fadb2899a53fd39f09ac9d0250cdbef2526a0257578b09e16e62c447c67d6,demo-pyspark-job,2020-10-03 17:07:11.250000-04:00,2020-10-03 17:08:00.239000-04:00,2020-10-03 17:08:00.239000-04:00,STOPPED,39,41,2880,39.0,Standard,39,2.0,
jr_c4788fab29ab7833b5f07c5b669d6d23f9a8d9492a2b2a9b791c933f9a003a94,demo-pyspark-job,2020-10-03 17:07:11.248000-04:00,2020-10-03 17:07:49.936000-04:00,2020-10-03 17:07:49.936000-04:00,STOPPED,48,31,2880,48.0,Standard,48,2.0,
jr_1350a86385e9052ca4673c4b7fccbfde26902c21731b226de08c5308f84b692a,demo-pyspark-job,2020-10-03 17:04:12.721000-04:00,2020-10-03 17:04:51.388000-04:00,2020-10-03 17:04:51.388000-04:00,STOPPED,26,30,2880,26.0,Standard,26,2.0,
jr_0de83facb34c7aeb635feb7d85650bc1e69ec9b7b2a9dd991ddc7ab2ecd21bd0,demo-pyspark-job,2020-10-03 17:04:12.703000-04:00,2020-10-03 17:05:01.589000-04:00,2020-10-03 17:05:01.589000-04:00,STOPPED,3,40,2880,3.0,Standard,3,2.0,
jr_f134e7076e1baab358e6a50faa64cfe952f6719fc09cc770cb60544fd2943e17,demo-pyspark-job,2020-10-03 17:04:12.668000-04:00,2020-10-03 17:04:59.047000-04:00,2020-10-03 17:04:59.047000-04:00,STOPPED,9,40,2880,9.0,Standard,9,2.0,
jr_6978266ffee25361d61fc4c0031663404d03d706108513cd51bf0361bb215027,demo-pyspark-job,2020-10-03 17:04:11.241000-04:00,2020-10-03 17:04:48.837000-04:00,2020-10-03 17:04:48.837000-04:00,STOPPED,36,30,2880,36.0,Standard,36,2.0,
jr_7117b45cba18476b15667278f354d77c1962c2eea64a282759179b6b6bef31f7,demo-pyspark-job,2020-10-03 17:01:23.566000-04:00,2020-10-03 17:02:01.585000-04:00,2020-10-03 17:02:01.585000-04:00,STOPPED,13,30,2880,13.0,Standard,13,2.0,
jr_ce503a6c8882b3c2430412b88a36bbede93dc8cc0815818255a90def5f1ad3fa,demo-pyspark-job,2020-10-03 16:58:12.306000-04:00,2020-10-03 16:58:49.120000-04:00,2020-10-03 16:58:49.120000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_256ed9aae60eea0a1913ea59bc1a75445cc172ff915b784931dc4e1bb525880c,demo-pyspark-job,2020-10-03 16:58:11.344000-04:00,2020-10-03 16:58:51.088000-04:00,2020-10-03 16:58:51.088000-04:00,STOPPED,2,31,2880,2.0,G.1X,2,2.0,
jr_b032be55611c05857a8b68ac33f2a9ffc35274a54aa39b8e7c43df70de606dc4,demo-pyspark-job,2020-10-03 16:58:11.331000-04:00,2020-10-03 16:58:50.033000-04:00,2020-10-03 16:58:50.033000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_ef1f467859a4c3f0a24685179f4bc7f720771ebd9c84a1919aa5cc7beab946b6,demo-pyspark-job,2020-10-03 16:58:11.322000-04:00,2020-10-03 16:58:50.186000-04:00,2020-10-03 16:58:50.186000-04:00,STOPPED,2,31,2880,2.0,G.1X,2,2.0,
jr_1bcb896dcd78c1904bffc934e67ed1119ba37ab7e1d3607804fc401162e3914e,demo-pyspark-job,2020-10-03 16:58:11.313000-04:00,2020-10-03 16:58:49.183000-04:00,2020-10-03 16:58:49.183000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_c1728161b59405193fa9610e4fa67b54a1223bbfaec0856fd3468e8a9a2ae2df,demo-pyspark-job,2020-10-03 16:55:11.413000-04:00,2020-10-03 16:55:49.244000-04:00,2020-10-03 16:55:49.244000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_295c21bbd6165bb74c38f90781a34bcdb242e2573e029924d08bbdca3394ae3f,demo-pyspark-job,2020-10-03 16:52:11.440000-04:00,2020-10-03 16:52:49.658000-04:00,2020-10-03 16:52:49.658000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_5913d2ae08691620b7abfcb8c3d328daa4fdf4e5ec9356718582a54a89d06f2e,demo-pyspark-job,2020-10-03 16:52:11.346000-04:00,2020-10-03 16:52:49.075000-04:00,2020-10-03 16:52:49.075000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_5d1720d2f26ae0ced7fa1d73fb84731d5151d3700936c4ec9fe3043ae7b5becd,demo-pyspark-job,2020-10-03 16:52:11.315000-04:00,2020-10-03 16:52:49.036000-04:00,2020-10-03 16:52:49.036000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_c567b8cf817894268c31e6b4a1a2fd64de2231e067f25f79a7e1cda22306120c,demo-pyspark-job,2020-10-03 16:52:11.307000-04:00,2020-10-03 16:52:49.601000-04:00,2020-10-03 16:52:49.601000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_16212c46462ecdfacee04546d669258d33f5ec13c817ee50844b738ff924b773,demo-pyspark-job,2020-10-03 16:52:11.301000-04:00,2020-10-03 16:52:48.510000-04:00,2020-10-03 16:52:48.510000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_683604c797f5b78233a21a80f0db6596316842d133afd3efb0dd75c2e2e50964,demo-pyspark-job,2020-10-03 16:52:10.969000-04:00,2020-10-03 16:52:49.571000-04:00,2020-10-03 16:52:49.571000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_1e5df3ede856b4c0a0d99b111dcf69f08dbfc47dbbcc9841cf6a36764f7a26d2,demo-pyspark-job,2020-10-03 16:52:10.968000-04:00,2020-10-03 16:52:48.932000-04:00,2020-10-03 16:52:48.932000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_48492a8d1a3f735843df5aad267807efbab8790a0435fc7dadfe5bf46e7436d4,demo-pyspark-job,2020-10-03 16:52:10.949000-04:00,2020-10-03 16:52:49.658000-04:00,2020-10-03 16:52:49.658000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_7f55333dfbd468c196d852d49622e094e7440e8d30e20b46e533aed1c25be216,demo-pyspark-job,2020-10-03 16:52:10.938000-04:00,2020-10-03 16:52:48.649000-04:00,2020-10-03 16:52:48.649000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_1099b972c4cb05c46e5f70c717db55218ded8619851e811906700437e0705331,demo-pyspark-job,2020-10-03 16:52:10.933000-04:00,2020-10-03 16:52:48.947000-04:00,2020-10-03 16:52:48.947000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_7b58eda3e40655a9a7db6a8fbf3bbd8fe34e39f623509e7e6c8cfb1bad74a557,demo-pyspark-job,2020-10-03 16:49:11.606000-04:00,2020-10-03 16:49:48.987000-04:00,2020-10-03 16:49:48.987000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_99a4944fe7c130d7b718e13a3b24cedb63897f8b678460282974ac5f6f9264fc,demo-pyspark-job,2020-10-03 16:49:11.268000-04:00,2020-10-03 16:49:51.372000-04:00,2020-10-03 16:49:51.372000-04:00,STOPPED,2,31,2880,2.0,G.1X,2,2.0,
jr_458b10727e3a1d61408efec622a35e2d80d5b1aafd4fd9b7836779b2f211a17c,demo-pyspark-job,2020-10-03 16:49:11.234000-04:00,2020-10-03 16:49:50.398000-04:00,2020-10-03 16:49:50.398000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_f663ae33811e71bd09984e4372ae37e1424c771f3dbef07a38709c3a36080ea3,demo-pyspark-job,2020-10-03 16:49:11.217000-04:00,2020-10-03 16:49:49.194000-04:00,2020-10-03 16:49:49.194000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_d5381f5d3c5c71494177bb1f7c54ba92457992777b24d263b7a64be1b0e7d42f,demo-pyspark-job,2020-10-03 16:49:11.212000-04:00,2020-10-03 16:49:49.249000-04:00,2020-10-03 16:49:49.249000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_3584726f0735d00d74a120672421b82fb24b9209a5683f03386d9adce3846ce5,demo-pyspark-job,2020-10-03 16:49:11.209000-04:00,2020-10-03 16:49:49.263000-04:00,2020-10-03 16:49:49.263000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_22ff4b44811635aaf6a8ded23f0e26ba6e1f5bb128abe1be9a13e5e25952fc25,demo-pyspark-job,2020-10-03 16:46:11.474000-04:00,2020-10-03 16:46:50.023000-04:00,2020-10-03 16:46:50.023000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_298b73fbe096151bd9c3c8de1d8046cc51e67c6e782be8006599a0e1f9e6f309,demo-pyspark-job,2020-10-03 16:46:11.451000-04:00,2020-10-03 16:46:50.044000-04:00,2020-10-03 16:46:50.044000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_00513c8cda56d262528e1a568a4b19ea12c4d8e62582d927996ee2029affd05a,demo-pyspark-job,2020-10-03 16:46:11.446000-04:00,2020-10-03 16:46:49.184000-04:00,2020-10-03 16:46:49.184000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_880316e6656e389f615b2dc07ba1647b01d3683e9d09a7cb5b071a9813857b22,demo-pyspark-job,2020-10-03 16:46:11.440000-04:00,2020-10-03 16:46:49.061000-04:00,2020-10-03 16:46:49.061000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_53100a1b868aa31b1f14c2c2b41b9190f922eddfa6b076415dab959c456cfe72,demo-pyspark-job,2020-10-03 16:46:11.437000-04:00,2020-10-03 16:46:50.046000-04:00,2020-10-03 16:46:50.046000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_5bff50e8bd2a72075f82b608a0cd78c7885ebba03c5c2fbca11249b2faf3401b,demo-pyspark-job,2020-10-03 16:44:25.332000-04:00,2020-10-03 16:45:02.974000-04:00,2020-10-03 16:45:02.974000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_a8c5f4dfa42e21a6996ec822ab8a9fcd7eee6ede0f5c1209d17e83df2d52ed0b,demo-pyspark-job,2020-10-03 16:44:25.331000-04:00,2020-10-03 16:45:03.042000-04:00,2020-10-03 16:45:03.042000-04:00,STOPPED,2,31,2880,2.0,G.1X,2,2.0,
jr_380d04de65729a4d54db438ae026f3975536ff005edbee659ef3735fd4a2c56b,demo-pyspark-job,2020-10-03 16:44:25.324000-04:00,2020-10-03 16:45:02.114000-04:00,2020-10-03 16:45:02.114000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
jr_cd006e9bd3706a6ebedab39190f6b0160c68b995e83b9c9eb0f554a1ff96976a,demo-pyspark-job,2020-10-03 16:44:24.862000-04:00,2020-10-03 16:45:02.496000-04:00,2020-10-03 16:45:02.496000-04:00,STOPPED,2,30,2880,2.0,G.1X,2,2.0,
